title,author,link,home,rss,date,timestamp,tags,test
Kubernetes、集群联邦和资源分发,面向信仰编程,https://draven.co//kuberentes-federation,https://draven.co,https://draveness.me/feed.xml,2022-03-19,1647648000,,
《Go 语言设计与实现》纸质书预售了！,面向信仰编程,https://draven.co//golang-book-release,https://draven.co,https://draveness.me/feed.xml,2021-11-20,1637366400,,
程序员可能必读书单推荐（一）,面向信仰编程,https://draven.co//books-1,https://draven.co,https://draveness.me/feed.xml,2021-07-16,1626393600,,
如何提高缓存系统的内存利用率和可扩展性 · NSDI '21,面向信仰编程,https://draven.co//papers-segcache,https://draven.co,https://draveness.me/feed.xml,2021-07-12,1626048000,,
谈谈 Kubernetes 的问题和局限性,面向信仰编程,https://draven.co//kuberentes-limitations,https://draven.co,https://draveness.me/feed.xml,2021-04-16,1618531200,,
为什么 Linux 和 macOS 不需要碎片整理,面向信仰编程,https://draven.co//whys-the-design-linux-macos-fragmentation,https://draven.co,https://draveness.me/feed.xml,2021-04-10,1618012800,,
CPU 和 GPU - 异构计算的演进与发展,面向信仰编程,https://draven.co//heterogeneous-computing,https://draven.co,https://draveness.me/feed.xml,2021-04-09,1617926400,,
为什么早期的 Windows 需要整理碎片,面向信仰编程,https://draven.co//whys-the-design-windows-defragmentation,https://draven.co,https://draveness.me/feed.xml,2021-04-01,1617235200,,
2020 年总结 · 渐入佳境,面向信仰编程,https://draven.co//2020-summary,https://draven.co,https://draveness.me/feed.xml,2021-03-28,1616889600,,
Serverless 与轻量级虚拟化 Firecracker · NSDI '20,面向信仰编程,https://draven.co//papers-firecracker,https://draven.co,https://draveness.me/feed.xml,2021-03-27,1616803200,,
你该如何为 Kubernetes 定制特性,面向信仰编程,https://draven.co//cloud-native-kubernetes-extension,https://draven.co,https://draveness.me/feed.xml,2021-03-23,1616457600,,
集群管理系统 Mesos 的设计原理 · NSDI '11,面向信仰编程,https://draven.co//papers-mesos,https://draven.co,https://draveness.me/feed.xml,2021-03-19,1616112000,,
为什么 Kubernetes 要替换 Docker,面向信仰编程,https://draven.co//whys-the-design-kubernetes-deprecate-docker,https://draven.co,https://draveness.me/feed.xml,2021-03-09,1615248000,,
内存管理设计精要,面向信仰编程,https://draven.co//system-design-memory-management,https://draven.co,https://draveness.me/feed.xml,2021-02-27,1614384000,,
为什么 OLAP 需要列式存储,面向信仰编程,https://draven.co//whys-the-design-olap-column-oriented,https://draven.co,https://draveness.me/feed.xml,2021-02-02,1612224000,,
数据中心的电力超售 · OSDI '20,面向信仰编程,https://draven.co//papers-thunderbolt,https://draven.co,https://draveness.me/feed.xml,2021-01-30,1611964800,,
Facebook 集群调度管理系统 · OSDI '20,面向信仰编程,https://draven.co//papers-twine,https://draven.co,https://draveness.me/feed.xml,2021-01-30,1611964800,,
纳秒级高性能日志系统 · ATC '18,面向信仰编程,https://draven.co//papers-nanolog,https://draven.co,https://draveness.me/feed.xml,2021-01-29,1611878400,,
数据中心的容错时钟对时 · OSDI '20,面向信仰编程,https://draven.co//papers-sundial,https://draven.co,https://draveness.me/feed.xml,2021-01-29,1611878400,,
为什么 Linux 需要 Swapping,面向信仰编程,https://draven.co//whys-the-design-linux-swapping,https://draven.co,https://draveness.me/feed.xml,2020-11-10,1604966400,,
